frame_index,timestamp_sec,detected,arousal,valence,intensity,emotion_label
1516,50.583866666666665,True,0.3,0.044,0.303,Slightly astonished
1520,50.717333333333336,True,0.066,0.028,0.072, Neutral
1524,50.8508,True,0.133,-0.033,0.137,Slightly aroused
1528,50.98426666666667,True,0.203,-0.018,0.204,Slightly aroused
1532,51.117733333333334,True,0.293,0.067,0.301,Slightly excited
1536,51.251200000000004,True,0.326,0.053,0.33,Moderately astonished
1540,51.38466666666667,True,0.274,0.189,0.333,Moderately delighted
1544,51.51813333333333,True,0.195,0.134,0.237,Slightly delighted
1548,51.6516,True,0.153,0.414,0.441,Moderately happy
1552,51.785066666666665,True,0.274,-0.079,0.285,Slightly tensed
1556,51.918533333333336,True,0.294,-0.135,0.324,Slightly tensed
1560,52.052,True,0.236,-0.375,0.443,Moderately annoyed
1564,52.18546666666667,True,0.33,0.065,0.336,Moderately astonished
1568,52.318933333333334,True,0.329,0.466,0.57,Very delighted
1572,52.452400000000004,True,0.319,0.098,0.334,Moderately excited
1576,52.58586666666667,True,0.261,-0.034,0.263,Slightly aroused
1580,52.71933333333333,True,0.285,0.276,0.397,Moderately delighted
1584,52.8528,True,0.245,0.25,0.35,Moderately delighted
1588,52.986266666666666,True,0.259,0.399,0.476,Moderately happy
1592,53.119733333333336,True,0.263,0.103,0.282,Slightly excited
1596,53.2532,True,0.306,-0.344,0.46,Moderately annoyed
1600,53.38666666666667,True,0.271,-0.254,0.371,Moderately afraid
1604,53.520133333333334,True,0.418,-0.243,0.484,Moderately alarmed
1608,53.653600000000004,True,0.311,-0.06,0.317,Slightly aroused
1612,53.78706666666667,True,0.29,-0.203,0.354,Moderately alarmed
1616,53.92053333333333,True,0.238,-0.014,0.238,Slightly aroused
1620,54.054,True,0.392,-0.011,0.392,Moderately astonished
1624,54.187466666666666,True,0.302,-0.019,0.303,Slightly aroused
1628,54.320933333333336,True,0.454,-0.136,0.474,Moderately tensed
1632,54.4544,True,0.275,-0.29,0.4,Moderately afraid
1636,54.58786666666667,True,0.294,0.098,0.31,Slightly excited
1640,54.721333333333334,True,0.29,-0.279,0.402,Moderately afraid
1644,54.854800000000004,True,0.334,-0.029,0.335,Moderately aroused
1648,54.98826666666667,True,0.312,-0.218,0.381,Moderately alarmed
1652,55.12173333333333,True,0.49,-0.245,0.548,Moderately alarmed
1656,55.2552,True,0.498,-0.01,0.498,Moderately astonished
1660,55.388666666666666,True,0.495,-0.158,0.52,Moderately tensed
1664,55.522133333333336,True,0.331,-0.135,0.357,Moderately tensed
1668,55.6556,True,0.298,-0.139,0.329,Moderately alarmed
1672,55.78906666666667,True,0.301,0.058,0.307,Slightly astonished
1676,55.922533333333334,True,0.217,-0.132,0.254,Slightly alarmed
1680,56.056000000000004,True,0.514,-0.341,0.617,Very alarmed
1684,56.18946666666667,True,0.747,-0.303,0.806,Extremely tensed
1688,56.32293333333333,True,0.343,-0.357,0.495,Moderately afraid
1692,56.4564,True,0.359,-0.354,0.504,Moderately afraid
1696,56.589866666666666,True,0.355,-0.385,0.524,Moderately annoyed
1700,56.723333333333336,True,0.465,-0.15,0.489,Moderately tensed
1704,56.8568,True,0.476,-0.231,0.529,Moderately alarmed
1708,56.99026666666667,True,0.511,-0.014,0.511,Moderately astonished
1712,57.123733333333334,True,0.474,-0.368,0.6,Very afraid
1716,57.257200000000005,True,0.669,-0.319,0.741,Very alarmed
1720,57.39066666666667,True,0.439,-0.453,0.631,Very afraid
1724,57.52413333333333,True,0.482,-0.232,0.535,Moderately alarmed
1728,57.6576,True,0.678,-0.037,0.679,Very aroused
1732,57.791066666666666,True,0.538,-0.167,0.563,Very tensed
1736,57.924533333333336,True,0.272,-0.279,0.39,Moderately afraid
1740,58.058,True,0.248,0.06,0.255,Slightly excited
1744,58.19146666666667,True,0.304,-0.517,0.6,Very distressed
1748,58.324933333333334,True,0.44,-0.535,0.693,Very annoyed
1752,58.458400000000005,True,0.903,-0.254,0.938,Extremely tensed
1756,58.59186666666667,True,0.602,-0.453,0.753,Very afraid
1760,58.72533333333333,True,0.603,-0.285,0.667,Very alarmed
1764,58.8588,True,0.403,-0.557,0.688,Very annoyed
